Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,363,144,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,7016,DSST,B,,,,0,160,113
T,1,1,0.0,2,prac,yes,1,2,120000.0,247,137,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),63888.30000001192,box2,yes,O,1,1,5067.800000011921,58820.5,7016,DSST,B,,,,1,160,113
-,2,1,0.0,1,prac,yes,1,1,120000.0,235,140,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),67870.20000004768,box1,yes,O,1,1,3208.300000011921,64661.90000003576,7016,DSST,B,,,,2,160,113
O,3,1,0.0,6,prac,yes,1,6,120000.0,258,148,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),72186.90000003576,box6,yes,O,1,1,3542.600000023842,68644.30000001192,7016,DSST,B,,,,3,160,113
^,4,1,0.0,7,prac,yes,1,7,120000.0,215,142,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),76417.5,box7,yes,O,1,1,3457.699999988079,72959.80000001192,7016,DSST,B,,,,4,160,113
L,5,1,0.0,4,prac,yes,1,4,120000.0,195,135,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),80766.30000001192,box4,yes,O,1,1,3575.300000011921,77191.0,7016,DSST,B,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,239,146,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),84814.90000003576,box8,yes,O,1,1,3275.699999988079,81539.20000004768,7016,DSST,B,,,,6,160,113
+,7,1,0.0,9,prac,yes,1,9,120000.0,220,146,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),89113.5,box9,yes,O,1,1,3525.599999964237,85587.90000003576,7016,DSST,B,,,,7,160,113
),8,1,0.0,3,prac,yes,1,3,120000.0,191,142,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),94744.80000001192,box3,yes,O,1,1,4858.5,89886.30000001192,7016,DSST,B,,,,8,160,113
U,9,1,0.0,5,prac,yes,1,5,120000.0,264,151,Tue Sep 03 2024 10:41:52 GMT-0500 (Central Daylight Time),99443.80000001192,box5,yes,O,1,1,3925.300000011921,95518.5,7016,DSST,B,,,,9,160,113
