Symbol,acc_sum,block_c,block_dur,clicked_response,condition,continue_roi_ticked,correct,correct_response,countdown,cursor_x,cursor_y,datetime,endtime,my_cursor_roi,my_cursor_roi_ticked,project,response,session_number,start_end,starttime,subject_id,task,task_vers,time_test_box_response,time_test_clicked_response,time_test_display_stimuli,trial,x_continue_box,y_continue_box
,0,0,0.0,1,,yes,1,1,120000.0,259,141.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),,box1,yes,O,1,1,,,9999,DSST,C,,,,0,160,113
),1,1,0.0,3,prac,yes,1,3,120000.0,178,127.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),69607.40000003576,box3,yes,O,1,1,1830.699999988079,67776.70000004768,9999,DSST,C,,,,1,160,113
L,2,1,0.0,4,prac,yes,1,4,120000.0,226,138.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),72538.60000002384,box4,yes,O,1,1,2107.199999988079,70431.40000003576,9999,DSST,C,,,,2,160,113
O,3,1,0.0,6,prac,yes,1,6,120000.0,213,153.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),76370.60000002384,box6,yes,O,1,1,3017.899999976158,73352.70000004768,9999,DSST,C,,,,3,160,113
U,4,1,0.0,5,prac,yes,1,5,120000.0,202,137.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),79286.30000001192,box5,yes,O,1,1,2096.699999988079,77189.60000002384,9999,DSST,C,,,,4,160,113
T,5,1,0.0,2,prac,yes,1,2,120000.0,219,142.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),82285.20000004768,box2,yes,O,1,1,2199.800000011921,80085.40000003576,9999,DSST,C,,,,5,160,113
X,6,1,0.0,8,prac,yes,1,8,120000.0,179,135.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),85367.60000002384,box8,yes,O,1,1,2268.699999988079,83098.90000003576,9999,DSST,C,,,,6,160,113
^,7,1,0.0,7,prac,yes,1,7,120000.0,238,145.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),88849.80000001192,box7,yes,O,1,1,2648.399999976158,86201.40000003576,9999,DSST,C,,,,7,160,113
+,8,1,0.0,9,prac,yes,1,9,120000.0,290,152.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),91615.5,box9,yes,O,1,1,1959.5999999642372,89655.90000003576,9999,DSST,C,,,,8,160,113
-,9,1,0.0,1,prac,yes,1,1,120000.0,307,158.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),94347.80000001192,box1,yes,O,1,1,1915.3999999761581,92432.40000003576,9999,DSST,C,,,,9,160,113
T,1,1,2.183000087738037,2,test,yes,1,2,117816.99991226196,226,125.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),117856.80000001192,box2,yes,O,1,1,2120.899999976158,115735.90000003576,9999,DSST,C,115056.0,115845.0,113724.0,1,160,113
-,2,1,4.172000169754028,1,test,yes,1,1,115827.99983024597,326,138.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),119856.20000004768,box1,yes,O,1,1,1943.1000000238419,117913.10000002384,9999,DSST,C,117125.0,117844.0,115901.0,2,160,113
),3,1,6.1549999713897705,3,test,yes,1,3,113845.00002861023,245,131.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),121838.40000003576,box3,yes,O,1,1,1941.199999988079,119897.20000004768,9999,DSST,C,119242.0,119826.0,117885.0,3,160,113
^,4,1,9.064000129699707,7,test,yes,1,7,110935.9998703003,220,134.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),124738.30000001192,box7,yes,O,1,1,2857.599999964237,121880.70000004768,9999,DSST,C,122060.0,122726.0,119869.0,4,160,113
T,5,1,11.028000116348267,2,test,yes,1,2,108971.99988365173,213,132.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),126704.0,box2,yes,O,1,1,1914.2999999523163,124789.70000004768,9999,DSST,C,123940.0,124692.0,122778.0,5,160,113
L,6,1,13.805000066757202,4,test,yes,1,4,106194.9999332428,286,135.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),129486.40000003576,box4,yes,O,1,1,2732.400000035763,126754.0,9999,DSST,C,126746.0,127474.0,124742.0,6,160,113
X,7,1,16.206000089645386,8,test,yes,1,8,103793.99991035461,210,131.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),131886.0,box8,yes,O,1,1,2365.199999988079,129520.80000001192,9999,DSST,C,129237.0,129874.0,127509.0,7,160,113
T,8,1,18.41000008583069,2,test,yes,1,2,101589.99991416931,256,156.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),134084.80000001192,box2,yes,O,1,1,2162.0,131922.80000001192,9999,DSST,C,131333.0,132073.0,129911.0,8,160,113
-,9,1,20.4060001373291,1,test,yes,1,1,99593.9998626709,253,153.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),136084.20000004768,box1,yes,O,1,1,1948.2000000476837,134136.0,9999,DSST,C,133486.0,134072.0,132124.0,9,160,113
),10,1,22.686000108718872,3,test,yes,1,3,97313.99989128113,361,154.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),138366.80000001192,box3,yes,O,1,1,2237.0,136129.80000001192,9999,DSST,C,135616.0,136355.0,134118.0,10,160,113
T,11,1,25.04200005531311,2,test,yes,1,2,94957.99994468689,189,138.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),140715.90000003576,box2,yes,O,1,1,2305.600000023842,138410.30000001192,9999,DSST,C,138099.0,138704.0,136398.0,11,160,113
-,12,1,26.890000104904175,1,test,yes,1,1,93109.99989509583,254,144.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),142565.5,box1,yes,O,1,1,1802.199999988079,140763.30000001192,9999,DSST,C,139782.0,140553.0,138751.0,12,160,113
L,13,1,29.939000129699707,4,test,yes,1,4,90060.9998703003,294,137.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),145614.80000001192,box4,yes,O,1,1,2995.099999964237,142619.70000004768,9999,DSST,C,142882.0,143602.0,140608.0,13,160,113
T,14,1,31.824000120162964,2,test,yes,1,2,88175.99987983704,323,120.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),147513.10000002384,box2,yes,O,1,1,1839.1000000238419,145674.0,9999,DSST,C,144775.0,145501.0,143662.0,14,160,113
),15,1,34.08500003814697,3,test,yes,1,3,85914.99996185303,212,132.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),149763.10000002384,box3,yes,O,1,1,2224.199999988079,147538.90000003576,9999,DSST,C,147045.0,147751.0,145527.0,15,160,113
U,16,1,36.45099997520447,5,test,yes,1,5,83549.00002479553,358,134.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),152129.20000004768,box5,yes,O,1,1,2325.800000011921,149803.40000003576,9999,DSST,C,149456.0,150117.0,147791.0,16,160,113
T,17,1,38.76600003242493,2,test,yes,1,2,81233.99996757507,243,123.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),154444.80000001192,box2,yes,O,1,1,2276.300000011921,152168.5,9999,DSST,C,151643.0,152432.0,150156.0,17,160,113
),18,1,40.97000002861023,3,test,yes,1,3,79029.99997138977,187,161.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),156644.20000004768,box3,yes,O,1,1,2153.600000023842,154490.60000002384,9999,DSST,C,153837.0,154632.0,152478.0,18,160,113
-,19,1,42.835999965667725,1,test,yes,1,1,77164.00003433228,178,136.5,Wed Aug 28 2024 13:41:28 GMT-0500 (Central Daylight Time),158510.20000004768,box1,yes,O,1,1,1815.4000000357628,156694.80000001192,9999,DSST,C,155692.0,156498.0,154683.0,19,160,113
